,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-0.06993631,-0.16540116,-0.21433155,-0.19492728,-0.40972015,0.7132798,-0.19956039,-0.20247053,6.0731125,0.17537299,-3.0787303,8.236056,14.619002,0.21804497,-2.7286918,-2.734973,-6.0070453
1,-0.028450042,-0.17433286,0.18752258,0.13802835,-0.37587923,-0.14314118,-0.1937109,-0.4023962,5.354819,0.7155468,1.3851787,7.698939,2.489475,2.006566,-22.080276,0.44582558,-2.0226111
2,-0.018543862,-0.07065541,0.16028751,0.0065005124,-0.3266192,-0.81748223,-0.18861464,-0.47288233,5.330895,0.09240283,2.028169,-4.941266,-4.1833,-0.52254796,-5.4733977,-1.0469632,-0.89521134
3,-0.015315797,-0.040400244,-0.18751569,-0.18439901,-0.3824003,-0.4073373,-0.3832277,-0.08973929,5.707883,-0.07710378,-0.11533424,-7.5119123,-3.913166,-2.3022556,13.824172,-2.838788,10.665971
4,-0.048321396,-0.00024980493,-0.562399,-0.5283185,-0.41695428,-0.15668616,-0.35379875,0.5093435,5.187721,-1.1351843,0.938701,-6.5963655,-7.0082726,0.08475699,0.18962882,2.583725,10.180908
5,-0.10043995,-0.027835028,-0.56314814,-0.74157,-0.4230831,0.19818605,-0.07947269,0.46184772,6.5207615,-0.88945127,-1.303388,2.9626522,-1.574289,0.13081199,9.752656,6.2412186,-5.511312
6,-0.1128478,-0.079265594,-0.29169372,-0.5853807,-0.41089886,0.5080987,0.11302464,-0.07985744,6.277051,0.019432303,-1.138222,5.4532776,5.2385826,0.40347946,3.5441637,1.564645,-11.691364
7,-0.07457162,-0.090772994,-0.10855187,0.016996771,-0.3746146,0.17618795,-0.017231882,-0.51917934,5.5649652,0.7256814,0.45123065,4.808128,12.173157,1.8534111,-11.716969,-5.3322687,-5.59331
8,-0.036202587,0.029385552,0.17227097,-0.17136952,-0.31755754,-0.6670167,-0.13180816,-0.47544613,5.5331054,0.63515455,3.1920223,5.2811875,-8.896288,0.6354302,-16.341011,-1.1571887,3.276475
9,-0.00014761835,0.08857269,0.24992402,-0.39183667,-0.35942352,-0.51261324,-0.25255406,-0.23492698,6.2629232,0.57488847,-0.008754943,-1.3350664,-1.302265,-1.5954206,12.647286,-1.6481917,4.925753
