0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
-0.109415084,-0.03252814,-0.54715747,-0.71880877,-0.42246053,0.22723414,-0.029418811,0.5445967,6.1358614,-0.77419937,-1.6910076,1.6152612,-2.0367022,-0.26301515,7.3714676,6.7851014,-4.4238043
-0.11877425,-0.09198503,-0.21644388,-0.67510545,-0.41359586,0.46662164,0.03275849,-0.05247016,6.0573473,-0.03424099,-0.8064301,8.236206,3.6971455,0.43217343,0.92254966,-0.9170031,-11.625889
-0.08158978,-0.054016493,-0.059363544,-0.033910662,-0.39441448,-0.089141585,-0.08880238,-0.5152336,5.312141,0.7574041,1.6054525,3.2108967,14.122928,2.458021,-16.042404,-4.2622795,-5.7883205
-0.05533725,0.09100252,0.06148134,-0.03664419,-0.307401,-0.9670385,-0.025298357,-0.51586473,5.2448883,0.45388722,3.3216338,1.1310291,-5.857714,0.25617135,-14.747294,2.781909,2.2095382
-0.020440675,0.12868994,-0.006574377,-0.2532527,-0.3841884,-0.5346076,0.010601744,-0.14136867,6.093611,0.5764198,-0.35323322,-3.5467145,-3.1623762,-1.975575,19.16614,1.6413686,9.314902
-0.006733771,0.086684406,-0.37605727,-0.3955495,-0.41030657,-0.022929393,0.27840447,0.05964765,5.0538774,0.17116483,-1.3866636,-8.098768,-2.863827,0.07678849,5.1629744,6.614487,1.0108023
-0.027543657,0.031539325,-0.5495228,-0.65951306,-0.41650316,0.5493332,-0.06059012,0.034324944,5.9195323,-0.45951146,-1.1585239,-0.46870464,-4.9532137,-0.14769723,12.298665,-10.670899,-1.1280048
-0.030174747,-0.07533101,-0.31232983,-0.4025935,-0.41362387,0.68988115,-0.32493195,-0.058267023,6.0766754,0.030254759,-2.736216,7.5831757,9.174761,0.16699761,-3.233474,-2.066222,-2.2453437
-0.007557631,-0.13557912,0.059904605,0.006512463,-0.3761165,-0.15927276,-0.16470231,-0.27138007,5.625033,0.39110714,0.05017363,8.261125,6.768175,2.3439445,-21.31948,3.2725377,-4.717915
-0.008652814,-0.06947196,0.12054174,0.058760256,-0.3171348,-0.80378807,-0.28258842,-0.49703613,5.674243,-0.0984851,1.6867906,-3.0465226,-1.6937693,-0.40322894,-5.2147856,-5.4524384,-4.032453
